date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:33:52	123/123	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Oct%202023%2014:34:04%20GMT	https://villexdigital.com/robots.txt		(from )
17:33:52	24664/24664	---MCZ	200	added ('OK')	text/html	etag:W/%22650930eb-6058%22	https://villexdigital.com/	C:/My%20Web%20Sites/VillexDigital/villexdigital.com/index.html	(from )
17:33:53	3493/3493	---M--	200	added ('OK')	text/css	etag:%22640f6bff-da5%22	https://villexdigital.com/theme/agency-1/default/assets/css/nice-select2.css	C:/My%20Web%20Sites/VillexDigital/villexdigital.com/theme/agency-1/default/assets/css/nice-select2.css	(from https://villexdigital.com/)
17:33:53	220780/220780	---M--	200	added ('OK')	text/css	etag:%22640f6c00-35e6c%22	https://villexdigital.com/theme/agency-1/default/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/VillexDigital/villexdigital.com/theme/agency-1/default/assets/css/bootstrap.min.css	(from https://villexdigital.com/)
17:33:53	21392/21392	---M--	200	added ('OK')	text/css	etag:%2264100521-5390%22	https://villexdigital.com/theme/agency-1/default/assets/css/style.css	C:/My%20Web%20Sites/VillexDigital/villexdigital.com/theme/agency-1/default/assets/css/style.css	(from https://villexdigital.com/)
17:33:54	6801/6801	---M--	200	added ('OK')	text/css	etag:%22640ff5b7-1a91%22	https://villexdigital.com/theme/agency-1/default/assets/css/responsive.css	C:/My%20Web%20Sites/VillexDigital/villexdigital.com/theme/agency-1/default/assets/css/responsive.css	(from https://villexdigital.com/)
17:33:54	1348/1348	---M--	200	added ('OK')	image/png	etag:%22640f6c06-544%22	https://villexdigital.com/theme/agency-1/default/assets/img/logo/logo-icon.png	C:/My%20Web%20Sites/VillexDigital/villexdigital.com/theme/agency-1/default/assets/img/logo/logo-icon.png	(from https://villexdigital.com/)
17:33:54	671/671	---M--	200	added ('OK')	image/png	etag:%227a89121f5d37c7bafd850f877b920c30%22	https://i.imgur.com/nTweee5.png	C:/My%20Web%20Sites/VillexDigital/i.imgur.com/nTweee5.png	(from https://villexdigital.com/)
17:33:54	468/468	---M--	200	added ('OK')	image/png	etag:%22640f6c05-1d4%22	https://villexdigital.com/theme/agency-1/default/assets/img/icon/envalope.png	C:/My%20Web%20Sites/VillexDigital/villexdigital.com/theme/agency-1/default/assets/img/icon/envalope.png	(from https://villexdigital.com/)
17:33:55	14037/14037	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Oct%202023%2014:34:07%20GMT	https://raw.githubusercontent.com/Pan-Raphael/villexdigital/main/others/logos/logo2-nobg.png	C:/My%20Web%20Sites/VillexDigital/raw.githubusercontent.com/Pan-Raphael/villexdigital/main/others/logos/logo2-nobg.png	(from https://villexdigital.com/)
17:33:55	336/336	---M--	200	added ('OK')	image/svg+xml	etag:%22640f6c06-150%22	https://villexdigital.com/theme/agency-1/default/assets/img/logo/logo.svg	C:/My%20Web%20Sites/VillexDigital/villexdigital.com/theme/agency-1/default/assets/img/logo/logo.svg	(from https://villexdigital.com/)
